key,source,competition_instance,family,runs,ok_runs,best,average,lb,ub,reference_best,current_best,best_minus_lb,best_minus_ub,best_minus_reference,best_minus_current,status
DPpaulli13,DPpaulli13,,DPpaulli,10,2,3143,3266,2808,2808,,,335,335,,,PARTIAL_OR_ERROR
DPpaulli14,DPpaulli14,,DPpaulli,10,0,,,2545,2545,,,,,,,PARTIAL_OR_ERROR
DPpaulli16,DPpaulli16,,DPpaulli,10,4,3158,3260.500,2785,2785,,,373,373,,,PARTIAL_OR_ERROR
DPpaulli17,DPpaulli17,,DPpaulli,10,0,,,2487,2487,,,,,,,PARTIAL_OR_ERROR
DPpaulli2,DPpaulli2,,DPpaulli,10,10,2771,2979.800,2490,2490,,,281,281,,,OK
DPpaulli3,DPpaulli3,,DPpaulli,10,0,,,2308,2308,,,,,,,PARTIAL_OR_ERROR
DPpaulli4,DPpaulli4,,DPpaulli,10,10,3273,3464.700,2693,2693,,,580,580,,,OK
DPpaulli5,DPpaulli5,,DPpaulli,10,10,2651,2878.100,2469,2469,,,182,182,,,OK
DPpaulli6,DPpaulli6,,DPpaulli,10,0,,,2351,2351,,,,,,,PARTIAL_OR_ERROR
DPpaulli7,DPpaulli7,,DPpaulli,10,10,2978,3258.400,2713,2713,,,265,265,,,OK
DPpaulli8,DPpaulli8,,DPpaulli,10,0,,,2418,2418,,,,,,,PARTIAL_OR_ERROR
Fattahi1,Fattahi1,,Fattahi,10,10,69,69,69,69,,,0,0,,,OK
Fattahi10,Fattahi10,,Fattahi,10,10,507,553,507,507,,,0,0,,,OK
Fattahi11,Fattahi11,,Fattahi,10,10,447,503.300,445,445,,,2,2,,,OK
Fattahi12,Fattahi12,,Fattahi,10,10,428,478.500,415,415,,,13,13,,,OK
Fattahi13,Fattahi13,,Fattahi,10,10,452,490.600,439,439,,,13,13,,,OK
Fattahi15,Fattahi15,,Fattahi,10,10,475,520,472,472,,,3,3,,,OK
Fattahi16,Fattahi16,,Fattahi,10,10,600,623.200,600,600,,,0,0,,,OK
Fattahi17,Fattahi17,,Fattahi,10,10,857,874.200,832,832,,,25,25,,,OK
Fattahi18,Fattahi18,,Fattahi,10,10,856,869.700,843,843,,,13,13,,,OK
Fattahi19,Fattahi19,,Fattahi,10,10,1068,1113.700,1070,1070,,,-2,-2,,,OK
Fattahi2,Fattahi2,,Fattahi,10,10,111,111,111,111,,,0,0,,,OK
Fattahi3,Fattahi3,,Fattahi,10,10,240,240,240,240,,,0,0,,,OK
Fattahi4,Fattahi4,,Fattahi,10,10,364,364,364,364,,,0,0,,,OK
Fattahi5,Fattahi5,,Fattahi,10,10,117,130,117,117,,,0,0,,,OK
Fattahi6,Fattahi6,,Fattahi,10,10,305,305,305,305,,,0,0,,,OK
Fattahi7,Fattahi7,,Fattahi,10,10,389,419.600,386,386,,,3,3,,,OK
Fattahi8,Fattahi8,,Fattahi,10,10,246,261.500,240,240,,,6,6,,,OK
Fattahi9,Fattahi9,,Fattahi,10,10,199,202.500,199,199,,,0,0,,,OK
Hurinkedata10,Hurinkedata10,,Hurink_edata,10,10,841,934.300,861,861,,,-20,-20,,,OK
Hurinkedata11,Hurinkedata11,,Hurink_edata,10,10,893,958.600,853,853,,,40,40,,,OK
Hurinkedata12,Hurinkedata12,,Hurink_edata,10,10,943,1087.500,865,865,,,78,78,,,OK
Hurinkedata13,Hurinkedata13,,Hurink_edata,10,10,880,971.500,862,862,,,18,18,,,OK
Hurinkedata14,Hurinkedata14,,Hurink_edata,10,10,1218,1311.100,1108,1108,,,110,110,,,OK
Hurinkedata15,Hurinkedata15,,Hurink_edata,10,10,1072,1175.800,942,942,,,130,130,,,OK
Hurinkedata16,Hurinkedata16,,Hurink_edata,10,10,1152,1263,1028,1028,,,124,124,,,OK
Hurinkedata17,Hurinkedata17,,Hurink_edata,10,10,1201,1327.500,1110,1110,,,91,91,,,OK
Hurinkedata18,Hurinkedata18,,Hurink_edata,10,10,1282,1368,1159,1159,,,123,123,,,OK
Hurinkedata19,Hurinkedata19,,Hurink_edata,10,10,905,991.300,867,867,,,38,38,,,OK
Hurinkedata2,Hurinkedata2,,Hurink_edata,10,10,920,946.500,867,867,,,53,53,,,OK
Hurinkedata20,Hurinkedata20,,Hurink_edata,10,10,738,772.900,689,689,,,49,49,,,OK
Hurinkedata21,Hurinkedata21,,Hurink_edata,10,10,852,983,798,798,,,54,54,,,OK
Hurinkedata22,Hurinkedata22,,Hurink_edata,10,10,823,863.300,788,788,,,35,35,,,OK
Hurinkedata23,Hurinkedata23,,Hurink_edata,10,10,926,983,834,834,,,92,92,,,OK
Hurinkedata24,Hurinkedata24,,Hurink_edata,10,10,1114,1287.600,1067,1067,,,47,47,,,OK
Hurinkedata25,Hurinkedata25,,Hurink_edata,10,10,1006,1120.400,917,917,,,89,89,,,OK
Hurinkedata26,Hurinkedata26,,Hurink_edata,10,10,1066,1179.900,1003,1003,,,63,63,,,OK
Hurinkedata27,Hurinkedata27,,Hurink_edata,10,10,1018,1084.800,969,969,,,49,49,,,OK
Hurinkedata28,Hurinkedata28,,Hurink_edata,10,10,1034,1125,975,975,,,59,59,,,OK
Hurinkedata29,Hurinkedata29,,Hurink_edata,10,10,1357,1429.500,1283,1283,,,74,74,,,OK
Hurinkedata3,Hurinkedata3,,Hurink_edata,10,10,1284,1371,1166,1166,,,118,118,,,OK
Hurinkedata30,Hurinkedata30,,Hurink_edata,10,10,1382,1495,1327,1327,,,55,55,,,OK
Hurinkedata31,Hurinkedata31,,Hurink_edata,10,10,1313,1481.600,1298,1298,,,15,15,,,OK
Hurinkedata32,Hurinkedata32,,Hurink_edata,10,10,1315,1470.700,1277,1277,,,38,38,,,OK
Hurinkedata33,Hurinkedata33,,Hurink_edata,10,10,1466,1674.900,1362,1362,,,104,104,,,OK
Hurinkedata34,Hurinkedata34,,Hurink_edata,10,10,1956,2083.900,1816,1816,,,140,140,,,OK
Hurinkedata35,Hurinkedata35,,Hurink_edata,10,10,2098,2293,1970,1970,,,128,128,,,OK
Hurinkedata36,Hurinkedata36,,Hurink_edata,10,10,2022,2117.400,1813,1813,,,209,209,,,OK
Hurinkedata37,Hurinkedata37,,Hurink_edata,10,10,1940,2085.200,1891,1891,,,49,49,,,OK
Hurinkedata38,Hurinkedata38,,Hurink_edata,10,10,2033,2196.800,1922,1922,,,111,111,,,OK
Hurinkedata39,Hurinkedata39,,Hurink_edata,10,10,1337,1425.500,1272,1272,,,65,65,,,OK
Hurinkedata4,Hurinkedata4,,Hurink_edata,10,10,602,661.100,581,581,,,21,21,,,OK
Hurinkedata40,Hurinkedata40,,Hurink_edata,10,10,1510,1601.200,1419,1419,,,91,91,,,OK
Hurinkedata41,Hurinkedata41,,Hurink_edata,10,10,1337,1386.600,1266,1266,,,71,71,,,OK
Hurinkedata42,Hurinkedata42,,Hurink_edata,10,10,1344,1463.600,1262,1262,,,82,82,,,OK
Hurinkedata43,Hurinkedata43,,Hurink_edata,10,10,1287,1432.900,1237,1237,,,50,50,,,OK
Hurinkedata44,Hurinkedata44,,Hurink_edata,10,10,1173,1297.100,1122,1122,,,51,51,,,OK
Hurinkedata45,Hurinkedata45,,Hurink_edata,10,10,954,993.500,911,911,,,43,43,,,OK
Hurinkedata46,Hurinkedata46,,Hurink_edata,10,10,758,797.200,709,709,,,49,49,,,OK
Hurinkedata47,Hurinkedata47,,Hurink_edata,10,10,755,863.500,746,746,,,9,9,,,OK
Hurinkedata48,Hurinkedata48,,Hurink_edata,10,10,784,856.600,734,734,,,50,50,,,OK
Hurinkedata49,Hurinkedata49,,Hurink_edata,10,10,6644,7374.900,6210,6210,,,434,434,,,OK
Hurinkedata5,Hurinkedata5,,Hurink_edata,10,10,643,780.700,625,625,,,18,18,,,OK
Hurinkedata50,Hurinkedata50,,Hurink_edata,10,10,7170,7609,6367,6367,,,803,803,,,OK
Hurinkedata51,Hurinkedata51,,Hurink_edata,10,10,7535,8119.100,6920,6920,,,615,615,,,OK
Hurinkedata52,Hurinkedata52,,Hurink_edata,10,10,8058,8652,7529,7529,,,529,529,,,OK
Hurinkedata53,Hurinkedata53,,Hurink_edata,10,10,7377,7714.300,7056,7056,,,321,321,,,OK
Hurinkedata54,Hurinkedata54,,Hurink_edata,10,10,8389,8563.400,7560,7560,,,829,829,,,OK
Hurinkedata55,Hurinkedata55,,Hurink_edata,10,10,6112,6524.900,6714,6714,,,-602,-602,,,OK
Hurinkedata56,Hurinkedata56,,Hurink_edata,10,10,7137,7662.200,7052,7052,,,85,85,,,OK
Hurinkedata57,Hurinkedata57,,Hurink_edata,10,10,992,1064.300,1708,1708,,,-716,-716,,,OK
Hurinkedata58,Hurinkedata58,,Hurink_edata,10,10,885,919.900,1469,1469,,,-584,-584,,,OK
Hurinkedata59,Hurinkedata59,,Hurink_edata,10,10,990,1102.200,1678,1678,,,-688,-688,,,OK
Hurinkedata60,Hurinkedata60,,Hurink_edata,10,10,1015,1046.700,980,980,,,35,35,,,OK
Hurinkedata61,Hurinkedata61,,Hurink_edata,10,10,922,943.100,830,830,,,92,92,,,OK
Hurinkedata62,Hurinkedata62,,Hurink_edata,10,10,1012,1061,967,967,,,45,45,,,OK
Hurinkedata63,Hurinkedata63,,Hurink_edata,10,10,389,425.700,589,589,,,-200,-200,,,OK
Hurinkedata64,Hurinkedata64,,Hurink_edata,10,10,903,974.700,865,865,,,38,38,,,OK
Hurinkedata65,Hurinkedata65,,Hurink_edata,10,10,958,1042.900,909,909,,,49,49,,,OK
Hurinkedata66,Hurinkedata66,,Hurink_edata,10,10,946,1014.800,907,907,,,39,39,,,OK
Hurinkedata7,Hurinkedata7,,Hurink_edata,10,10,580,660.100,545,545,,,35,35,,,OK
Hurinkedata8,Hurinkedata8,,Hurink_edata,10,10,519,578.700,485,485,,,34,34,,,OK
Hurinkedata9,Hurinkedata9,,Hurink_edata,10,10,865,974.500,813,813,,,52,52,,,OK
Hurinkrdata1,Hurinkrdata1,,Hurink_rdata,10,10,44,47.900,44,44,,,0,0,,,OK
Hurinkrdata10,Hurinkrdata10,,Hurink_rdata,10,10,776,845.800,738,738,,,38,38,,,OK
Hurinkrdata11,Hurinkrdata11,,Hurink_rdata,10,10,801,878.400,751,751,,,50,50,,,OK
Hurinkrdata12,Hurinkrdata12,,Hurink_rdata,10,10,869,949.400,834,834,,,35,35,,,OK
Hurinkrdata13,Hurinkrdata13,,Hurink_rdata,10,10,834,865.500,786,786,,,48,48,,,OK
Hurinkrdata14,Hurinkrdata14,,Hurink_rdata,10,10,1139,1209.900,1065,1065,,,74,74,,,OK
Hurinkrdata15,Hurinkrdata15,,Hurink_rdata,10,10,1004,1067.900,914,914,,,90,90,,,OK
Hurinkrdata16,Hurinkrdata16,,Hurink_rdata,10,10,1080,1142.600,1026,1026,,,54,54,,,OK
Hurinkrdata17,Hurinkrdata17,,Hurink_rdata,10,10,1145,1197.500,1070,1070,,,75,75,,,OK
Hurinkrdata18,Hurinkrdata18,,Hurink_rdata,10,10,1117,1174.500,1065,1065,,,52,52,,,OK
Hurinkrdata19,Hurinkrdata19,,Hurink_rdata,10,10,702,720.400,725,725,,,-23,-23,,,OK
Hurinkrdata2,Hurinkrdata2,,Hurink_rdata,10,10,681,758.300,703,703,,,-22,-22,,,OK
Hurinkrdata20,Hurinkrdata20,,Hurink_rdata,10,10,620,665.400,620,620,,,0,0,,,OK
Hurinkrdata21,Hurinkrdata21,,Hurink_rdata,10,10,657,702.600,678,678,,,-21,-21,,,OK
Hurinkrdata22,Hurinkrdata22,,Hurink_rdata,10,10,713,755.800,729,729,,,-16,-16,,,OK
Hurinkrdata23,Hurinkrdata23,,Hurink_rdata,10,10,756,780.200,757,757,,,-1,-1,,,OK
Hurinkrdata24,Hurinkrdata24,,Hurink_rdata,10,10,911,968.400,962,962,,,-51,-51,,,OK
Hurinkrdata25,Hurinkrdata25,,Hurink_rdata,10,10,870,913.400,882,882,,,-12,-12,,,OK
Hurinkrdata26,Hurinkrdata26,,Hurink_rdata,10,10,940,991.100,955,955,,,-15,-15,,,OK
Hurinkrdata27,Hurinkrdata27,,Hurink_rdata,10,10,921,975.400,929,929,,,-8,-8,,,OK
Hurinkrdata29,Hurinkrdata29,,Hurink_rdata,10,10,1234,1347.600,1234,1234,,,0,0,,,OK
Hurinkrdata3,Hurinkrdata3,,Hurink_rdata,10,10,1108,1196.200,1029,1029,,,79,79,,,OK
Hurinkrdata30,Hurinkrdata30,,Hurink_rdata,10,10,1244,1340.700,1240,1240,,,4,4,,,OK
Hurinkrdata31,Hurinkrdata31,,Hurink_rdata,10,10,1214,1396,1254,1254,,,-40,-40,,,OK
Hurinkrdata32,Hurinkrdata32,,Hurink_rdata,10,10,1156,1249.900,1163,1163,,,-7,-7,,,OK
Hurinkrdata33,Hurinkrdata33,,Hurink_rdata,10,10,1220,1365.300,1250,1250,,,-30,-30,,,OK
Hurinkrdata34,Hurinkrdata34,,Hurink_rdata,10,9,1801,1876.111,1766,1766,,,35,35,,,PARTIAL_OR_ERROR
Hurinkrdata35,Hurinkrdata35,,Hurink_rdata,10,9,1886,2033.667,1931,1931,,,-45,-45,,,PARTIAL_OR_ERROR
Hurinkrdata36,Hurinkrdata36,,Hurink_rdata,10,8,1696,1849.625,1710,1710,,,-14,-14,,,PARTIAL_OR_ERROR
Hurinkrdata37,Hurinkrdata37,,Hurink_rdata,10,7,1775,1900.429,1781,1781,,,-6,-6,,,PARTIAL_OR_ERROR
