key,source,competition_instance,family,runs,ok_runs,best,average,lb,ub,reference_best,current_best,best_minus_lb,best_minus_ub,best_minus_reference,best_minus_current,status
Hurinkedata12,Hurinkedata12,,Hurink_edata,10,10,943,1087.500,409,855,,,534,88,,,OK
Hurinkedata13,Hurinkedata13,,Hurink_edata,10,10,880,971.500,435,820,,,445,60,,,OK
Hurinkedata14,Hurinkedata14,,Hurink_edata,10,10,1218,1311.100,401,1058,,,817,160,,,OK
Hurinkedata15,Hurinkedata15,,Hurink_edata,10,10,1072,1175.800,397,919,,,675,153,,,OK
Hurinkedata16,Hurinkedata16,,Hurink_edata,10,10,1152,1263,364,988,,,788,164,,,OK
Hurinkedata17,Hurinkedata17,,Hurink_edata,10,10,1201,1327.500,495,1077,,,706,124,,,OK
Hurinkedata18,Hurinkedata18,,Hurink_edata,10,10,1282,1368,430,1065,,,852,217,,,OK
Hurinkedata19,Hurinkedata19,,Hurink_edata,10,10,905,991.300,675,836,,,230,69,,,OK
Hurinkedata2,Hurinkedata2,,Hurink_edata,10,10,920,946.500,609,825,,,311,95,,,OK
Hurinkedata20,Hurinkedata20,,Hurink_edata,10,10,738,772.900,591,659,,,147,79,,,OK
Hurinkedata21,Hurinkedata21,,Hurink_edata,10,10,852,983,607,781,,,245,71,,,OK
Hurinkedata22,Hurinkedata22,,Hurink_edata,10,10,823,863.300,576,738,,,247,85,,,OK
Hurinkedata23,Hurinkedata23,,Hurink_edata,10,10,926,983,725,821,,,201,105,,,OK
Hurinkedata24,Hurinkedata24,,Hurink_edata,10,10,1114,1287.600,665,990,,,449,124,,,OK
Hurinkedata25,Hurinkedata25,,Hurink_edata,10,10,1006,1120.400,572,850,,,434,156,,,OK
Hurinkedata26,Hurinkedata26,,Hurink_edata,10,10,1066,1179.900,603,942,,,463,124,,,OK
Hurinkedata27,Hurinkedata27,,Hurink_edata,10,10,1018,1084.800,663,886,,,355,132,,,OK
Hurinkedata28,Hurinkedata28,,Hurink_edata,10,10,1034,1125,676,891,,,358,143,,,OK
Hurinkedata29,Hurinkedata29,,Hurink_edata,10,10,1357,1429.500,653,1101,,,704,256,,,OK
Hurinkedata3,Hurinkedata3,,Hurink_edata,10,10,1284,1371,387.866,1055,,,896.134,229,,,OK
Hurinkedata30,Hurinkedata30,,Hurink_edata,10,10,1382,1495,630,1174,,,752,208,,,OK
Hurinkedata31,Hurinkedata31,,Hurink_edata,10,10,1313,1481.600,689,1128,,,624,185,,,OK
Hurinkedata32,Hurinkedata32,,Hurink_edata,10,10,1315,1470.700,675,1104,,,640,211,,,OK
Hurinkedata33,Hurinkedata33,,Hurink_edata,10,10,1466,1674.900,685,1191,,,781,275,,,OK
Hurinkedata34,Hurinkedata34,,Hurink_edata,10,10,1956,2083.900,670,1528,,,1286,428,,,OK
Hurinkedata35,Hurinkedata35,,Hurink_edata,10,10,2098,2293,712,1644,,,1386,454,,,OK
Hurinkedata36,Hurinkedata36,,Hurink_edata,10,10,2022,2117.400,660,1498,,,1362,524,,,OK
Hurinkedata37,Hurinkedata37,,Hurink_edata,10,10,1940,2085.200,604,1580,,,1336,360,,,OK
Hurinkedata38,Hurinkedata38,,Hurink_edata,10,10,2033,2196.800,602,1665,,,1431,368,,,OK
Hurinkedata39,Hurinkedata39,,Hurink_edata,10,10,1337,1425.500,878,1120,,,459,217,,,OK
Hurinkedata4,Hurinkedata4,,Hurink_edata,10,10,602,661.100,388,569,,,214,33,,,OK
Hurinkedata40,Hurinkedata40,,Hurink_edata,10,10,1510,1601.200,902,1317,,,608,193,,,OK
Hurinkedata41,Hurinkedata41,,Hurink_edata,10,10,1337,1386.600,872,1138,,,465,199,,,OK
Hurinkedata42,Hurinkedata42,,Hurink_edata,10,10,1344,1463.600,847,1133,,,497,211,,,OK
Hurinkedata43,Hurinkedata43,,Hurink_edata,10,10,1287,1432.900,872,1101,,,415,186,,,OK
Hurinkedata44,Hurinkedata44,,Hurink_edata,10,10,1173,1297.100,794,1117,,,379,56,,,OK
Hurinkedata45,Hurinkedata45,,Hurink_edata,10,10,954,993.500,697,884,,,257,70,,,OK
Hurinkedata46,Hurinkedata46,,Hurink_edata,10,10,758,797.200,380,623,,,378,135,,,OK
Hurinkedata47,Hurinkedata47,,Hurink_edata,10,10,755,863.500,403,635,,,352,120,,,OK
Hurinkedata48,Hurinkedata48,,Hurink_edata,10,10,784,856.600,440,627,,,344,157,,,OK
Hurinkedata49,Hurinkedata49,,Hurink_edata,10,10,6644,7374.900,2962,6007,,,3682,637,,,OK
Hurinkedata5,Hurinkedata5,,Hurink_edata,10,10,643,780.700,364,620,,,279,23,,,OK
Hurinkedata50,Hurinkedata50,,Hurink_edata,10,10,7170,7609,2725,6223,,,4445,947,,,OK
Hurinkedata51,Hurinkedata51,,Hurink_edata,10,10,7535,8119.100,3657,6524,,,3878,1011,,,OK
Hurinkedata52,Hurinkedata52,,Hurink_edata,10,10,8058,8652,2927.357,7396,,,5130.643,662,,,OK
Hurinkedata53,Hurinkedata53,,Hurink_edata,10,10,7377,7714.300,4197,6832,,,3180,545,,,OK
Hurinkedata54,Hurinkedata54,,Hurink_edata,10,10,8389,8563.400,5081,7504,,,3308,885,,,OK
Hurinkedata55,Hurinkedata55,,Hurink_edata,10,10,6112,6524.900,4076,5868.000,,,2036,244.000,,,OK
Hurinkedata56,Hurinkedata56,,Hurink_edata,10,10,7137,7662.200,4206,7042,,,2931,95,,,OK
Hurinkedata57,Hurinkedata57,,Hurink_edata,10,10,992,1064.300,650,924,,,342,68,,,OK
Hurinkedata58,Hurinkedata58,,Hurink_edata,10,10,885,919.900,613,826,,,272,59,,,OK
Hurinkedata59,Hurinkedata59,,Hurink_edata,10,10,990,1102.200,597,910,,,393,80,,,OK
Hurinkedata60,Hurinkedata60,,Hurink_edata,10,10,1015,1046.700,692,948,,,323,67,,,OK
Hurinkedata61,Hurinkedata61,,Hurink_edata,10,10,922,943.100,540,812,,,382,110,,,OK
Hurinkedata62,Hurinkedata62,,Hurink_edata,10,10,1012,1061,660,916,,,352,96,,,OK
Hurinkedata63,Hurinkedata63,,Hurink_edata,10,10,389,425.700,254,366,,,135,23,,,OK
Hurinkedata64,Hurinkedata64,,Hurink_edata,10,10,903,974.700,526,832,,,377,71,,,OK
Hurinkedata65,Hurinkedata65,,Hurink_edata,10,10,958,1042.900,629,885,,,329,73,,,OK
Hurinkedata66,Hurinkedata66,,Hurink_edata,10,10,946,1014.800,632.061,893,,,313.939,53,,,OK
Hurinkedata7,Hurinkedata7,,Hurink_edata,10,10,580,660.100,356,538,,,224,42,,,OK
Hurinkedata8,Hurinkedata8,,Hurink_edata,10,10,519,578.700,349,481,,,170,38,,,OK
Hurinkedata9,Hurinkedata9,,Hurink_edata,10,10,865,974.500,431,784,,,434,81,,,OK
Hurinkrdata1,Hurinkrdata1,,Hurink_rdata,10,10,44,47.900,43,44,,,1,0,,,OK
Hurinkrdata10,Hurinkrdata10,,Hurink_rdata,10,10,776,845.800,358,711,,,418,65,,,OK
Hurinkrdata11,Hurinkrdata11,,Hurink_rdata,10,10,801,878.400,337,726,,,464,75,,,OK
Hurinkrdata12,Hurinkrdata12,,Hurink_rdata,10,10,869,949.400,351,809,,,518,60,,,OK
Hurinkrdata13,Hurinkrdata13,,Hurink_rdata,10,10,834,865.500,415,767,,,419,67,,,OK
Hurinkrdata14,Hurinkrdata14,,Hurink_rdata,10,10,1139,1209.900,399,1018,,,740,121,,,OK
Hurinkrdata15,Hurinkrdata15,,Hurink_rdata,10,10,1004,1067.900,376,887,,,628,117,,,OK
Hurinkrdata16,Hurinkrdata16,,Hurink_rdata,10,10,1080,1142.600,353,981,,,727,99,,,OK
Hurinkrdata17,Hurinkrdata17,,Hurink_rdata,10,10,1145,1197.500,423,1021,,,722,124,,,OK
Hurinkrdata18,Hurinkrdata18,,Hurink_rdata,10,10,1117,1174.500,345,1033,,,772,84,,,OK
Hurinkrdata19,Hurinkrdata19,,Hurink_rdata,10,10,702,720.400,656,656,,,46,46,,,OK
Hurinkrdata2,Hurinkrdata2,,Hurink_rdata,10,10,681,758.300,599,651,,,82,30,,,OK
Hurinkrdata20,Hurinkrdata20,,Hurink_rdata,10,10,620,665.400,589,593,,,31,27,,,OK
Hurinkrdata21,Hurinkrdata21,,Hurink_rdata,10,10,657,702.600,614,624,,,43,33,,,OK
Hurinkrdata22,Hurinkrdata22,,Hurink_rdata,10,10,713,755.800,567,663,,,146,50,,,OK
Hurinkrdata23,Hurinkrdata23,,Hurink_rdata,10,10,756,780.200,690,709,,,66,47,,,OK
Hurinkrdata24,Hurinkrdata24,,Hurink_rdata,10,10,911,968.400,655,819,,,256,92,,,OK
Hurinkrdata25,Hurinkrdata25,,Hurink_rdata,10,10,870,913.400,567,741,,,303,129,,,OK
Hurinkrdata26,Hurinkrdata26,,Hurink_rdata,10,10,940,991.100,580,825,,,360,115,,,OK
Hurinkrdata27,Hurinkrdata27,,Hurink_rdata,10,10,921,975.400,643,772,,,278,149,,,OK
Hurinkrdata29,Hurinkrdata29,,Hurink_rdata,10,10,1234,1347.600,653,1024,,,581,210,,,OK
Hurinkrdata3,Hurinkrdata3,,Hurink_rdata,10,10,1108,1196.200,368,985,,,740,123,,,OK
Hurinkrdata30,Hurinkrdata30,,Hurink_rdata,10,10,1244,1340.700,640,1062,,,604,182,,,OK
Hurinkrdata31,Hurinkrdata31,,Hurink_rdata,10,10,1214,1396,689,1051,,,525,163,,,OK
Hurinkrdata32,Hurinkrdata32,,Hurink_rdata,10,10,1156,1249.900,656,978,,,500,178,,,OK
Hurinkrdata33,Hurinkrdata33,,Hurink_rdata,10,10,1220,1365.300,665,1047,,,555,173,,,OK
Hurinkrdata34,Hurinkrdata34,,Hurink_rdata,10,9,1801,1876.111,658,1463,,,1143,338,,,PARTIAL_OR_ERROR
Hurinkrdata35,Hurinkrdata35,,Hurink_rdata,10,9,1886,2033.667,687,1575,,,1199,311,,,PARTIAL_OR_ERROR
Hurinkrdata36,Hurinkrdata36,,Hurink_rdata,10,8,1696,1849.625,662,1418,,,1034,278,,,PARTIAL_OR_ERROR
